127.0.0.1, 2018-09-30 13:43:27, GET, /admin/static/_2.17.1/images/delete_icon.png, HTTP/1.1, 200, 0.000724
127.0.0.1, 2018-09-30 13:43:27, GET, /admin/static/_2.17.1/images/test_icon.png, HTTP/1.1, 200, 0.000720
127.0.0.1, 2018-09-30 13:43:28, GET, /favicon.ico, HTTP/1.1, 400, 0.000354
127.0.0.1, 2018-09-30 13:43:32, GET, /admin/default/peek/welcome/models/db.py, HTTP/1.1, 200, 0.049446
127.0.0.1, 2018-09-30 13:43:33, GET, /favicon.ico, HTTP/1.1, 400, 0.000375
127.0.0.1, 2018-09-30 13:43:39, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.094706
127.0.0.1, 2018-09-30 13:43:39, GET, /favicon.ico, HTTP/1.1, 400, 0.000444
127.0.0.1, 2018-09-30 13:43:47, GET, /favicon.ico, HTTP/1.1, 400, 0.000261
127.0.0.1, 2018-09-30 13:43:49, GET, /favicon.ico, HTTP/1.1, 400, 0.000355
127.0.0.1, 2018-09-30 13:43:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000242
127.0.0.1, 2018-09-30 13:43:54, GET, /favicon.ico, HTTP/1.1, 400, 0.000453
127.0.0.1, 2018-09-30 13:43:56, GET, /admin/default/index, HTTP/1.1, 303, 0.003267
127.0.0.1, 2018-09-30 13:43:56, GET, /admin/default/site, HTTP/1.1, 200, 0.032859
127.0.0.1, 2018-09-30 13:43:58, GET, /favicon.ico, HTTP/1.1, 400, 0.000224
127.0.0.1, 2018-09-30 13:43:58, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.100112
127.0.0.1, 2018-09-30 13:43:59, GET, /favicon.ico, HTTP/1.1, 400, 0.000245
127.0.0.1, 2018-09-30 13:43:59, GET, /favicon.ico, HTTP/1.1, 400, 0.000445
127.0.0.1, 2018-09-30 13:44:01, GET, /favicon.ico, HTTP/1.1, 400, 0.000353
127.0.0.1, 2018-09-30 13:44:03, GET, /welcome/default/index, HTTP/1.1, 200, 0.024134
